Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
75024.0,117678.0,36.2,1
77832.0,95052.0,18.1,2
74064.0,96840.0,23.5,3
81396.0,107136.0,24.0,4
76944.0,99300.0,22.5,5
76980.0,96264.0,20.0,6
74568.0,110688.0,32.6,7
75720.0,76644.0,1.2,8
75684.0,92412.0,18.1,9
75168.0,120000.0,37.4,10
79014.0,93192.0,15.2,11
78816.0,108666.0,27.5,12
77274.0,109422.0,29.4,13
76296.0,97776.0,22.0,14
75168.0,93900.0,19.9,15
56736.0,56736.0,0.0,16
83142.0,95304.0,12.8,17
77196.0,93600.0,17.5,18
79992.0,98466.0,18.8,19
78054.0,85248.0,8.4,20
77082.0,107070.0,28.0,21
75144.0,120000.0,37.4,22
74616.0,114330.0,34.7,23
73368.0,79380.0,7.6,24
75720.0,101382.0,25.3,25
77274.0,113862.0,32.1,26
80820.0,106254.0,23.9,27
81720.0,120000.0,31.9,28
76200.0,101856.0,25.2,29
78816.0,107076.0,26.4,30
73704.0,83148.0,11.4,31
70944.0,72852.0,2.6,32
74232.0,110268.0,32.7,33
70854.0,71988.0,1.6,34
81660.0,102324.0,20.2,35
80280.0,114432.0,29.8,36
77028.0,92040.0,16.3,37
81252.0,118836.0,31.6,38
79104.0,101862.0,22.3,39
82800.0,116028.0,28.6,40
74664.0,86352.0,13.5,41
79764.0,106242.0,24.9,42
76764.0,84300.0,8.9,43
80802.0,120000.0,32.7,44
75216.0,116094.0,35.2,45
80352.0,80352.0,0.0,46
87324.0,89376.0,2.3,47
76428.0,107688.0,29.0,48
77400.0,97602.0,20.7,49
79956.0,120000.0,33.4,50
84936.0,110052.0,22.8,51
73584.0,86400.0,14.8,52
74904.0,114900.0,34.8,53
80388.0,112236.0,28.4,54
80976.0,89532.0,9.6,55
82092.0,111894.0,26.6,56
80748.0,88590.0,8.9,57
85626.0,120000.0,28.6,58
82044.0,107028.0,23.3,59
75498.0,92508.0,18.4,60
80376.0,82884.0,3.0,61
76800.0,89172.0,13.9,62
76488.0,114198.0,33.0,63
57636.0,58392.0,1.3,64
78864.0,109452.0,27.9,65
